username;date;0;00;text;geo;mentions;hashtags;id;permalink;sentimiento;rango
MsTofuFairy;2019-10-25 14:12;0;0;"Win $500 with Mandarins from Chile! First Place: $500 Visa gift card Second Place: $100 Visa gift card Third place: $50 Visa gift card GOOD LUCK! @ fruitsfromchile!";;@ fruitsfromchile;;"1187809296605745152";https://twitter.com/MsTofuFairy/status/1187809296605745152;Tendencia positiva;0.45
HS3RENE;2019-10-25 14:12;0;0;"Chile";;;;"1187809294793793542";https://twitter.com/HS3RENE/status/1187809294793793542;Neutral;0.0
Madden_Chile;2019-10-25 14:12;0;0;"right after I did 2 92's buying one piece at a time ...";;;;"1187809294055550976";https://twitter.com/Madden_Chile/status/1187809294055550976;Tendencia positiva;0.2857142857142857
PolosViajeros;2019-10-25 14:12;0;0;"El mar nos ofrece grandes espectaculos visuales pero tambien alimentos suculentos llenos de proteina. Este es el caso del ceviche, pescado cortado en tiras, marinado con limon y mezclado con cebolla, jitomate, chile y cilantro. !Una verdadera delicia! pic.twitter.com/SCowqcGDjT";;;;"1187809290314235905";https://twitter.com/PolosViajeros/status/1187809290314235905;Tendencia negativa;0.4800313156442145
vatsnet;2019-10-25 14:12;0;0;"Vamos chile # renunciapineira # LaMarchaMasGrandeDeChile";;;# renunciapineira # LaMarchaMasGrandeDeChile;"1187809289789984775";https://twitter.com/vatsnet/status/1187809289789984775;Neutral;0.0
coloradabrusco;2019-10-25 14:12;0;0;"Suena 'vamos a andar' y las personas se abrazan en una plaza de Chile.  ...";;;;"1187809285687914497";https://twitter.com/coloradabrusco/status/1187809285687914497;Muy positivo;0.7228504283345354
ChileEsPueblo;2019-10-25 14:12;0;0;"El reclamo tendria que ser contra las concesiones";;;;"1187809284966490113";https://twitter.com/ChileEsPueblo/status/1187809284966490113;Muy negativo;0.08672916886106469
clau1707_;2019-10-25 14:12;0;0;"O sea claro mira, justamente en Espana el impuesto es uno de los paises que paga el 50% , te lo digo porque mi hna trabaja en corte ingles Chile, pero viaja mucho. Por ende si el impuesto fuera del 50% aca que hay empresarios multimillonarios, seria un Chile distinto.";;;;"1187809280126341121";https://twitter.com/clau1707_/status/1187809280126341121;Muy negativo;0.06648947511176401
Claudioversos;2019-10-25 14:12;0;0;"O Chile eh a prova cabal do desastre do modelo neoliberal";;;;"1187809277320318976";https://twitter.com/Claudioversos/status/1187809277320318976;Neutral;0.0
medvox;2019-10-25 14:12;0;0;"Gracias por intentar salvar al pais.:";;;;"1187809274476580864";https://twitter.com/medvox/status/1187809274476580864;Tendencia negativa;0.35981028538137083
VictoriaPopula7;2019-10-25 14:12;0;0;"Cientos de conductores con sus vehiculos se suman a las # protestas en # Chile creando el caos circulatorio al marchar lentamente por las autopistas de # Santiago.";;;# protestas # Chile # Santiago;"1187809274451374083";https://twitter.com/VictoriaPopula7/status/1187809274451374083;Muy negativo;0.20649164333337114
fernandez_puma;2019-10-25 14:12;0;0;"Pero les avisaron hoy y porque alegaron.";;;;"1187809267799265280";https://twitter.com/fernandez_puma/status/1187809267799265280;Muy negativo;0.07905627737712824
blueeyesofJCap;2019-10-25 14:12;0;0;"En Chile Sebastian Pinera quema el pais, NO mienta!";;;;"1187809265987264512";https://twitter.com/blueeyesofJCap/status/1187809265987264512;Muy negativo;0.09652256235467412
CarlosA66975079;2019-10-25 14:12;0;0;"A verdadeira guerra do Chile e contra a desigualdade :  ...";;;;"1187809263751778310";https://twitter.com/CarlosA66975079/status/1187809263751778310;Neutral;0.0
manuross4;2019-10-25 14:12;0;0;"# Chile :latina/2019/10/25/el:gobierno:chileno:elevo:a:19:la:cifra:de:muertos:por:las:protestas:y:se:confirmo:que:tres:de:ellos:eran:peruanos/ ...";;;# Chile;"1187809259532230656";https://twitter.com/manuross4/status/1187809259532230656;Muy negativo;0.08519791015169692
simulacrandrew;2019-10-25 14:12;0;0;"The # protest wave around the world is stunning. Iraq, Lebanon, Hong Kong, Chile, Haiti, Spain ... Roll back just a little for Puerto Rico and Sudan, and the strike wave in the US. Common denominator is deficient democracy & persistent poverty. :wave:protests:share:themes:economic:anger:political:hopelessness/ ...";;;# protest;"1187809259301539844";https://twitter.com/simulacrandrew/status/1187809259301539844;Tendencia negativa;-0.0775
RealidadUnoCero;2019-10-25 14:12;0;0;"Fuera de huebeo, cuando esto termine, alguien tiene que hacerse responsable por la cantidad de actos, tanto de vulnerabilidad, como de vandalismo, y es aca donde no les va a gustar, haber estado en contra de Chile, por ordenes expresas del ejecutivo.";;;;"1187809255962923008";https://twitter.com/RealidadUnoCero/status/1187809255962923008;Muy negativo;0.07129375108683744
CuryDiazRios;2019-10-25 14:12;0;0;"Otra vez despotricando en contra de la democracia? # OperadorDeLaCIA eres una VERDADERA VERGUENZA para los latinos y mexicanos en Estados Unidos! # Colombia # Ecuador # Chile # Bolivia fracaso del neoliberalismo que promueves # Traidor # Pseudoperiodista";;;# OperadorDeLaCIA # Colombia # Ecuador # Chile # Bolivia # Traidor # Pseudoperiodista;"1187809255165841409";https://twitter.com/CuryDiazRios/status/1187809255165841409;Muy negativo;0.00037308564508756556
PPobleteS;2019-10-25 14:12;0;0;"Hoy en @ La_Segunda. Es fundamental que el nuevo gabinete considere este factor: que Chile se sienta representado en las historias de vida de los ministros. pic.twitter.com/9d2Yo4Nxui";;@ La_Segunda;;"1187809253190451204";https://twitter.com/PPobleteS/status/1187809253190451204;Muy positivo;0.8593930303087575
AgriSonia;2019-10-25 14:12;0;0;"Quedaria mejor. Cual deberia ser el papel de la OEA y la comunidad internacional ante la crisis en Chile ? Dejen los paises elegir democraticamente a sus gobernantes!!!  ...";;;;"1187809248102830080";https://twitter.com/AgriSonia/status/1187809248102830080;Muy negativo;0.21732045198457478
AnonsRebelion;2019-10-25 14:12;0;0;"Adios Chile que te apagastes...  ...";;;;"1187809245498150912";https://twitter.com/AnonsRebelion/status/1187809245498150912;Tendencia negativa;0.3072062822809555
gorellana1977;2019-10-25 14:12;0;0;"Lo que pasa en Chile, es una copia de la Venezuela de 1989  via @ YouTube";;@ YouTube;;"1187809243572920321";https://twitter.com/gorellana1977/status/1187809243572920321;Muy negativo;0.12948618993913724
