username;date;0;00;text;geo;mentions;hashtags;id;permalink;sentimiento;rango
y_comunismo;2019-10-28 10:29;0;0;""La Ley 130 de 1994 senala que esta prohibida toda clase de propaganda politica y electoral el dia de las elecciones. No se pueden portar camisetas, ni otras prendas de vestir, afiches, volantes, gacetas o documento similares que hagan propaganda politica" se fue de sancion! pic.twitter.com/56UOMilVtd";;;;"1188840307582033920";https://twitter.com/y_comunismo/status/1188840307582033920;Muy negativo;0.002691004516678304
rucaslo;2019-10-28 10:28;0;0;"Las elecciones no eran de genero sino de futuro para Bogota. En cuanto a eso esta en peligro.";;;;"1188840036864790531";https://twitter.com/rucaslo/status/1188840036864790531;Muy negativo;0.011404785015089087
YioEfain;2019-10-28 10:27;0;0;"Ha sido mas importante el Beso de @ ClaudiaLopez que el que haya ganado las elecciones.";;@ ClaudiaLopez;;"1188839748066054146";https://twitter.com/YioEfain/status/1188839748066054146;Tendencia negativa;0.417261330094371
chuchoagudelo1;2019-10-28 10:24;2;1;"Senores @ CNE_COLOMBIA La ley 130 De 1994 Senala que esta Prohibido Portar Publicidad, Propaganda, Camisetas y todo tipo de Objetos Alusivos A las Campanas politicas El Dia de las Elecciones, Que paso con @ ClaudiaLopez ?Sera q puede Hacer lo q Se le da la Gana y Burlar la ley?";;@ CNE_COLOMBIA @ ClaudiaLopez;;"1188839041896243201";https://twitter.com/chuchoagudelo1/status/1188839041896243201;Muy negativo;0.003219527397745726
feduardoac;2019-10-28 10:22;0;0;"Por populista y cambiar en las ultimas semanas previas a las elecciones, su verdadera imagen, por una imagen de buena persona, de asertividad, de ternura. Ojala haga las cosas bien porque insisto la ciudad no puede volver al pasado del Polo, ni mucho menos a la de Petro";;;;"1188838567210041344";https://twitter.com/feduardoac/status/1188838567210041344;Muy negativo;0.010096162640126758
DiegoM_Leon;2019-10-28 10:22;0;0;"Avanzamos. Usted no gano, y eso es un avance enorme para Bogota y para Colombia. Ojala siga trabajando con tenacidad, alejado de esas sombras politicas que lo llevaron al ultimo lugar en estas elecciones.";;;;"1188838491947503618";https://twitter.com/DiegoM_Leon/status/1188838491947503618;Tendencia negativa;0.31826200206993466
EncuestasColom8;2019-10-28 10:18;2;0;"Alcaldes de las 10 ciudades mas pobladas, @ ClaudiaLopez Bgta. @ QuinteroCalle Medellin @ JorgeIvanOspina Cali @ jaimepumarejo B/quilla # WilliamDau Cartagena @ ingjairoyanez Cucuta @ rodolfo_ucros Soledad @ Andreshurtado_7 Ibague @ juancsaldarriag Soacha @ JCCardenasBGA B/mangapic.twitter.com/mcfyNSEY0Q";;@ ClaudiaLopez @ QuinteroCalle @ JorgeIvanOspina @ jaimepumarejo @ ingjairoyanez @ rodolfo_ucros @ Andreshurtado_7 @ juancsaldarriag @ JCCardenasBGA;# WilliamDau;"1188837444336132097";https://twitter.com/EncuestasColom8/status/1188837444336132097;Muy negativo;0.25730771251594103
GinoZuniga;2019-10-28 10:18;0;0;"No sienten en el ambiente un halo de felicidad, esperanza y cambio luego del resultado de ayer en las elecciones? No creen que se siente que hoy somos mejor pais y avanzamos un poquito? # EleccionesColombia2019 @ NoticiasCaracol @ ClaudiaLopez @ JorgeIvanOspina @ QuinteroCallepic.twitter.com/SrfOE7wPG3";;@ NoticiasCaracol @ ClaudiaLopez @ JorgeIvanOspina @ QuinteroCallepic;# EleccionesColombia2019;"1188837418264338432";https://twitter.com/GinoZuniga/status/1188837418264338432;Muy negativo;0.046509334359761616
leydelmontes;2019-10-28 10:16;0;0;"# LoMalo "No hay derecho a que las autoridades electorales por irresponsables y ligeras atenten contra la democracia de una forma tan irresponsable", # MiOpinion sobre denuncias de trashumancia durante elecciones regionales https # LeyDelMontesEnEH";;;# LoMalo # MiOpinion # LeyDelMontesEnEH;"1188836902675341312";https://twitter.com/leydelmontes/status/1188836902675341312;Muy negativo;0.0011396533441246602
NewoOfficial;2019-10-28 10:11;0;0;"A pesar de lo que mostraban las encuestas, estos candidatos sorprendieron y marcaron un hito historico en las elecciones regionales de Colombia. ?Que paso con @ QuinteroCalle y @ ClaudiaLopez? Aqui la historia desde el ojo de @ el_paishttps ...";;@ QuinteroCalle @ ClaudiaLopez @ el_paishttps;;"1188835637035753472";https://twitter.com/NewoOfficial/status/1188835637035753472;Muy positivo;0.8164510784798067
leydelmontes;2019-10-28 10:09;1;0;"# LoBueno "Por cuenta de la reforma politica las elecciones regionales de ayer permitiran estrenar la figura de los "jefes de la oposicion", tanto en concejos municipales como en asambleas departamentales", # MiAnalisisDeLasElecciones en @ elheraldoco     > https";;@ elheraldoco;# LoBueno # MiAnalisisDeLasElecciones;"1188835286144471040";https://twitter.com/leydelmontes/status/1188835286144471040;Muy negativo;0.18274553601446275
vicralopsi;2019-10-28 10:06;0;0;"Creo que Fajardo no entendio las elecciones de Bogota. El voto de Bogota es completamente libre y no depende de guinos, excepto en las iglesias";;;;"1188834362671939585";https://twitter.com/vicralopsi/status/1188834362671939585;Tendencia positiva;0.6046142607579912
Gustavo50355794;2019-10-28 10:05;0;0;"Fajardo ya gano en Bogota en las elecciones pasadas,es lo unico decente que queda,le dara sopa y seco a Petro.";;;;"1188834274725781504";https://twitter.com/Gustavo50355794/status/1188834274725781504;Muy negativo;0.024323631748399344
adolfobarreiro;2019-10-28 10:00;0;0;"Es la decision del pueblo y se tiene que respetar. Este senor perdio las elecciones para presidente y aun no lo asimila. Ahora perdio las elecciones para alcalde de Bogota y ya empezo con su odio. Respete las decisiones del pueblo y la democracia.";;;;"1188832982666223618";https://twitter.com/adolfobarreiro/status/1188832982666223618;Muy negativo;0.010733631141553313
ramidj11;2019-10-28 09:53;0;0;"Asi como usted lo igualo con Uribe en elecciones presidenciales, o es que ya se le olvido que gracias a su voto en blanco termino ganando Duque";;;;"1188831241627406338";https://twitter.com/ramidj11/status/1188831241627406338;Muy negativo;0.09656000495805132
luiscastroramon;2019-10-28 09:43;0;0;"Ese Metro elevado ni siquiera lo van a construir, ahorita la Contraloria y la Procuraduria frenan eso, la misma @ ClaudiaLopez lo frena, esa vaina no tiene ni estudios ni nada, es mas ilegal que los falsos positivos de @ AlvaroUribeVel, lo usaron solo para ganar las elecciones.";;@ ClaudiaLopez @ AlvaroUribeVel;;"1188828597953400832";https://twitter.com/luiscastroramon/status/1188828597953400832;Muy negativo;4.005467463240884e-05
EncuestasColom8;2019-10-28 09:40;2;0;"# Encuesta || ?Que imagen favorable o desfavorable tiene usted, de la alcaldesa Mayor de # Bogota electa para el periodo 2020 2023 la Politologa y exsenadora @ ClaudiaLopez?";;@ ClaudiaLopez;# Encuesta # Bogota;"1188827945168752640";https://twitter.com/EncuestasColom8/status/1188827945168752640;Muy negativo;0.1357833382631624
raskoalde;2019-10-28 09:40;0;0;"Eso es un no? Mira, la pregunta es valida porque a unos chiques no les gusto las elecciones del 74 y se fueron al monte.";;;;"1188827911811485698";https://twitter.com/raskoalde/status/1188827911811485698;Muy negativo;0.03891916332851276
CarlosDario1975;2019-10-28 09:40;0;0;"Bogota despide con todo el gusto del mundo a Penalosa para intentar escribir una nueva historia. Hay que rodear a Claudia Lopez para hacer de Bogota, la ciudad q queremos. No mas polarizacion. Definitivamente, la gran encuesta es el dia de elecciones. !Viva Bogota! # ClaudiaLopez pic.twitter.com/kTIdt0YMRy";;;# ClaudiaLopez;"1188827820392435712";https://twitter.com/CarlosDario1975/status/1188827820392435712;Muy negativo;0.29292056699954044
karosanp;2019-10-28 09:36;0;0;"De que habla senor, usted quedese en su Antioquia, Medellin y demas, y preocupese por eso. Usted en Bogota no existe, no importa. Cumpla con renciar a la politica, acaso no lo dijo en elecciones presidenciales, cumpla";;;;"1188826827835543554";https://twitter.com/karosanp/status/1188826827835543554;Muy negativo;0.006723899418536853
joyleban;2019-10-28 09:36;0;1;"Ayer fue una jornada historica, elecciones en Argentina, Colombia, Uruguay y tambien Suchitoto. Ademas de la eleccion de @ ClaudiaLopez como alcaldesa de Bogota tambien celebro la victoria de @ Estamos_Listas por su curul en el Concejo de Medellin y Santa Elena. # SiSepudopic.twitter.com/Exz8E9pk61";;@ ClaudiaLopez @ Estamos_Listas;# SiSepudopic;"1188826777273143296";https://twitter.com/joyleban/status/1188826777273143296;Muy negativo;0.25688111517272794
iasca;2019-10-28 09:35;0;0;"Durante las ultimas 5 elecciones para la Alcaldia, el candidato por el que vote fue derrotado y ayer no fue la excepcion. Pero esta vez, no siento que haya perdido. # ClaudiaAlcaldesa";;;# ClaudiaAlcaldesa;"1188826610423730183";https://twitter.com/iasca/status/1188826610423730183;Muy negativo;0.04607147348057479
AdaColau;2019-10-28 09:33;19;115;"Felicidades Colombia por haber celebrado las primeras elecciones tras los acuerdos de paz. Y enhorabuena por la apuesta progresista en ciudades hermanas para BCN: @ ClaudiaLopez primera alcaldesa de Bogota, @ QuinteroCalle, alcalde de Medellin y @ jorgeivanospina, vencedor en Cali";;@ ClaudiaLopez @ QuinteroCalle @ jorgeivanospina;;"1188826141404086275";https://twitter.com/AdaColau/status/1188826141404086275;Muy negativo;0.11270825980619174
Deidamiapiensa;2019-10-28 09:33;1;8;"Construir gobierno es algo mucho mas serio que ganar las elecciones. @ ClaudiaLopez tendra que conformar un equipo que como ella, combiene la juventud, el dinamismo con la experiencia y el criterio para tomar decisiones de ciudad. # ClaudiaNuestraAlcaldesa";;@ ClaudiaLopez;# ClaudiaNuestraAlcaldesa;"1188826045987864582";https://twitter.com/Deidamiapiensa/status/1188826045987864582;Muy positivo;0.7904675304624429
OscarAlza2;2019-10-28 09:32;0;0;"Hay que saber perder pero sobre todo saber ganar, no cometan ustedes el mismo error del uribismo cuando ganaron las pasadas elecciones presidenciales.";;;;"1188825939611795456";https://twitter.com/OscarAlza2/status/1188825939611795456;Muy negativo;0.021293937678808855
alexbuchely;2019-10-28 09:25;0;0;"Estimado senador @ JERobledo ya quisiera decir que por poco gana Uribe en las presidenciales pero es una realidad gracias a la misma aptitud que asumio usted en esas elecciones";;@ JERobledo;;"1188824066800672768";https://twitter.com/alexbuchely/status/1188824066800672768;Muy negativo;0.12278336175328905
roberthescobar;2019-10-28 09:24;0;0;"Esa es Claudia la ganadora de las elecciones a la alcaldia de Bogota, la que esta debajo de tus axilas, que fotaza";;;;"1188823896209940481";https://twitter.com/roberthescobar/status/1188823896209940481;Muy negativo;0.2961654606587258
riskmaco;2019-10-28 09:24;0;0;"A @ petrogustavo lo dejan que actue como la liebre que tarde que temprano caera. La IZQUIERDA quiere hacernos dirigir la mirada a este ser, pero si nos descuidamos como en estas elecciones regionales habra presidente y mayorias en el Congreso zurdas.";;@ petrogustavo;;"1188823839314251777";https://twitter.com/riskmaco/status/1188823839314251777;Tendencia positiva;0.5138553350329641
pablocastroh;2019-10-28 09:22;0;0;"@ ClaudiaLopez @ sergio_fajardo el partido verde tiene un ano y medio para demostrar que puede hacer de cara a las elecciones del 2022. Es hora de que demuestren con hechos que van hacer para disminuir la corrupcion y la equidad. Mucha fuerza!!";;@ ClaudiaLopez @ sergio_fajardo;;"1188823479203848195";https://twitter.com/pablocastroh/status/1188823479203848195;Muy negativo;0.03058297204928775
neoflash5;2019-10-28 09:22;0;0;"27 meses para las proximas elecciones";;;;"1188823282679799809";https://twitter.com/neoflash5/status/1188823282679799809;Tendencia negativa;0.3732281004379064
FiBotC;2019-10-28 09:16;0;0;"Tantas elecciones y todavia no ha entendido como vota Bogota ! No cuente con esos votos, no los va a tener.";;;;"1188821866603040769";https://twitter.com/FiBotC/status/1188821866603040769;Muy negativo;0.0005728283864714311
PublimetroCol;2019-10-28 09:15;3;22;"El abrazo de @ ClaudiaLopez con su mama que conmovio a muchos. La nueva alcaldesa de Bogota estuvo acompanada de su progenitora el dia de las elecciones pic.twitter.com/e6Inf76mP1";;@ ClaudiaLopez;;"1188821613589999616";https://twitter.com/PublimetroCol/status/1188821613589999616;Tendencia positiva;0.5388591493291494
Maikelaceae;2019-10-28 09:14;0;1;"@ ClaudiaLopez gana las elecciones con 1.108.541 votos, la votacion mas alta registrada hasta ahora en las contiendas por la alcaldia de Bogota, estableciendo una cifra y una ocasion historica en un momento definitorio para la ciudad y para el pais.";;@ ClaudiaLopez;;"1188821218205589505";https://twitter.com/Maikelaceae/status/1188821218205589505;Tendencia negativa;0.37586536325837083
WillCortesG;2019-10-28 09:09;0;3;"Como siempre digo en todas las elecciones, le deseo lo mejor a la nueva alcaldesa @ ClaudiaLopez, que Dios la ilumine y haga de mi hermosa Bogota una mejor ciudad. Lo unico que deseo es ver a mi ciudad natal avanzar.";;@ ClaudiaLopez;;"1188819988313980933";https://twitter.com/WillCortesG/status/1188819988313980933;Muy positivo;0.8743013095315064
OnlinePacifico;2019-10-28 09:06;0;0;"# Colombia Con alegria y optimismo se presento # ClaudiaLopez la nueva Alcaldesa de Bogota, quien gano las elecciones este domingo. http";;;# Colombia # ClaudiaLopez;"1188819291719770117";https://twitter.com/OnlinePacifico/status/1188819291719770117;Muy negativo;0.17701843280036575
UCCI_SG;2019-10-28 09:05;3;2;"La ecologista @ ClaudiaLopez se convierte en la primera alcaldesa de @ Bogota. La candidata de Alianza Verde en las elecciones locales comenzara su mandato el 1 de enero de 2020. !Enhorabuena! + INFO: https ecologista claudia lopez se convierte en la primera alcaldesa de bogota/ ...pic.twitter.com/BT5HSyhhhN";;@ ClaudiaLopez @ Bogota;;"1188819126783037440";https://twitter.com/UCCI_SG/status/1188819126783037440;Tendencia positiva;0.569992628769122
