username;date;0;00;text;geo;mentions;hashtags;id;permalink;sentimiento;rango
Cronos_Noticias;2019-10-25 14:27;0;0;"Donde voto: consulta el padron electoral definitivo para las elecciones generales del 27  ...pic.twitter.com/FcL7YDPJFr";;;;"1187812918689173505";https://twitter.com/Cronos_Noticias/status/1187812918689173505;Muy negativo;0.12478593502038486
galoredo;2019-10-25 14:27;0;0;"Pidamos nuevas elecciones pues los nuevos legisladores azules estarian con escanos q no les corresponden";;;;"1187812897520529410";https://twitter.com/galoredo/status/1187812897520529410;Muy negativo;0.039039055476062054
rcnradio;2019-10-25 14:27;0;1;"Candidato es senalado de violencia intrafamiliar a pocos dias de elecciones :es:senalado:de:violencia:intrafamiliar:pocos:dias:de:elecciones ...";;;;"1187812875940835330";https://twitter.com/rcnradio/status/1187812875940835330;Muy negativo;0.02726722968375107
hugorm58;2019-10-25 14:27;0;0;"Como todo lo que ocurre en Chile,favorece a las elecciones en Bolivia y ahora Argentina, los zurdos lo saben todo!! DONDE ESTA LA DERECHA?";;;;"1187812873139032065";https://twitter.com/hugorm58/status/1187812873139032065;Muy negativo;0.15262140229483187
AlvaroPoGonzlez;2019-10-25 14:27;0;0;"@ IvanDuque Cuestiona Elecciones en Bolivia y el triunfo de @ evoespueblo, mientras guarda Silencio de la Barbarie que hacen Militares en Chile contra el Pueblo..... ...";;@ IvanDuque @ evoespueblo;;"1187812871666831360";https://twitter.com/AlvaroPoGonzlez/status/1187812871666831360;Muy negativo;0.038368676869456705
richardxholland;2019-10-25 14:27;0;0;"iwal cachai que si muere pinera o renuncia el waton chadwick es videpresidente luego de eso llaman elecciones y como somos weones y yetas vamos a elegir a kast culiao";;;;"1187812869628452865";https://twitter.com/richardxholland/status/1187812869628452865;Muy negativo;0.0014550135272964162
GloriaAlvarez85;2019-10-25 14:27;1;0;"Es que si fuera blanco ojos azules, ahi si lo tacharian de "maldito imperialista quema amazonas". Pero como es indio, le perdonan la quema del Amazonas, que sea dictador y que se robe las elecciones.";;;;"1187812858480005121";https://twitter.com/GloriaAlvarez85/status/1187812858480005121;Muy negativo;0.012843109365415703
Janekeithduran;2019-10-25 14:27;0;0;"Con costos has visto dos elecciones en Argentina en toda tu vida. Calmate. Eh.";;;;"1187812850649255936";https://twitter.com/Janekeithduran/status/1187812850649255936;Muy negativo;0.020554751241533702
iyw68;2019-10-25 14:27;0;0;"Lo mas loable es que pongan sus cargos a disposicion , renuncien y llamar a nuevas elecciones o adelantarlas. Ya no creo en los congresistas. Estan cagados de miedo porque saben que se las cobraremos!";;;;"1187812849588027394";https://twitter.com/iyw68/status/1187812849588027394;Muy negativo;0.001674150109801074
LautaroArburua;2019-10-25 14:27;0;0;"Voy a cerrar Twitter hasta despues de las elecciones";;;;"1187812847440535553";https://twitter.com/LautaroArburua/status/1187812847440535553;Muy negativo;0.13475949714954735
