username;date;0;00;text;geo;mentions;hashtags;id;permalink;sentimiento;rango
y_comunismo;2019-10-28 10:32;0;0;""La Ley 130 de 1994 senala que esta prohibida toda clase de propaganda politica y electoral el dia de las elecciones. No se pueden portar camisetas, ni otras prendas de vestir, afiches, volantes, gacetas o documento similares que hagan propaganda politica" se fue de sancion! pic.twitter.com/iHbsxd900Y";;;;"1188840904456581120";https://twitter.com/y_comunismo/status/1188840904456581120;Muy negativo;0.002691004516678304
Ferno51;2019-10-28 10:30;0;0;"?Usted imagina al Polo sin Robledo en las pasadas elecciones de Congreso? El Polo no pasaba el umbral. El es el unico rockstar.";;;;"1188840584234110976";https://twitter.com/Ferno51/status/1188840584234110976;Muy positivo;0.7138471226482942
y_comunismo;2019-10-28 10:29;0;0;""La Ley 130 de 1994 senala que esta prohibida toda clase de propaganda politica y electoral el dia de las elecciones. No se pueden portar camisetas, ni otras prendas de vestir, afiches, volantes, gacetas o documento similares que hagan propaganda politica" se fue de sancion! pic.twitter.com/56UOMilVtd";;;;"1188840307582033920";https://twitter.com/y_comunismo/status/1188840307582033920;Muy negativo;0.002691004516678304
rucaslo;2019-10-28 10:28;0;0;"Las elecciones no eran de genero sino de futuro para Bogota. En cuanto a eso esta en peligro.";;;;"1188840036864790531";https://twitter.com/rucaslo/status/1188840036864790531;Muy negativo;0.011404785015089087
YioEfain;2019-10-28 10:27;0;0;"Ha sido mas importante el Beso de @ ClaudiaLopez que el que haya ganado las elecciones.";;@ ClaudiaLopez;;"1188839748066054146";https://twitter.com/YioEfain/status/1188839748066054146;Tendencia negativa;0.417261330094371
chuchoagudelo1;2019-10-28 10:24;2;1;"Senores @ CNE_COLOMBIA La ley 130 De 1994 Senala que esta Prohibido Portar Publicidad, Propaganda, Camisetas y todo tipo de Objetos Alusivos A las Campanas politicas El Dia de las Elecciones, Que paso con @ ClaudiaLopez ?Sera q puede Hacer lo q Se le da la Gana y Burlar la ley?";;@ CNE_COLOMBIA @ ClaudiaLopez;;"1188839041896243201";https://twitter.com/chuchoagudelo1/status/1188839041896243201;Muy negativo;0.003219527397745726
feduardoac;2019-10-28 10:22;0;0;"Por populista y cambiar en las ultimas semanas previas a las elecciones, su verdadera imagen, por una imagen de buena persona, de asertividad, de ternura. Ojala haga las cosas bien porque insisto la ciudad no puede volver al pasado del Polo, ni mucho menos a la de Petro";;;;"1188838567210041344";https://twitter.com/feduardoac/status/1188838567210041344;Muy negativo;0.010096162640126758
DiegoM_Leon;2019-10-28 10:22;0;0;"Avanzamos. Usted no gano, y eso es un avance enorme para Bogota y para Colombia. Ojala siga trabajando con tenacidad, alejado de esas sombras politicas que lo llevaron al ultimo lugar en estas elecciones.";;;;"1188838491947503618";https://twitter.com/DiegoM_Leon/status/1188838491947503618;Tendencia negativa;0.31826200206993466
EncuestasColom8;2019-10-28 10:18;2;1;"Alcaldes de las 10 ciudades mas pobladas, @ ClaudiaLopez Bgta. @ QuinteroCalle Medellin @ JorgeIvanOspina Cali @ jaimepumarejo B/quilla # WilliamDau Cartagena @ ingjairoyanez Cucuta @ rodolfo_ucros Soledad @ Andreshurtado_7 Ibague @ juancsaldarriag Soacha @ JCCardenasBGA B/mangapic.twitter.com/mcfyNSEY0Q";;@ ClaudiaLopez @ QuinteroCalle @ JorgeIvanOspina @ jaimepumarejo @ ingjairoyanez @ rodolfo_ucros @ Andreshurtado_7 @ juancsaldarriag @ JCCardenasBGA;# WilliamDau;"1188837444336132097";https://twitter.com/EncuestasColom8/status/1188837444336132097;Muy negativo;0.25730771251594103
GinoZuniga;2019-10-28 10:18;0;0;"No sienten en el ambiente un halo de felicidad, esperanza y cambio luego del resultado de ayer en las elecciones? No creen que se siente que hoy somos mejor pais y avanzamos un poquito? # EleccionesColombia2019 @ NoticiasCaracol @ ClaudiaLopez @ JorgeIvanOspina @ QuinteroCallepic.twitter.com/SrfOE7wPG3";;@ NoticiasCaracol @ ClaudiaLopez @ JorgeIvanOspina @ QuinteroCallepic;# EleccionesColombia2019;"1188837418264338432";https://twitter.com/GinoZuniga/status/1188837418264338432;Muy negativo;0.046509334359761616
