username;date;0;00;text;geo;mentions;hashtags;id;permalink;sentimiento;rango
impactamag;2019-10-27 16:52;1;1;"El Registrador Nacional Juan Carlos Galindo cerro el proceso elctoral indicando que han sido las elecciones regionales mas pacificas de los ultimos anos # elecciones # eleccionesregionales # politica # bogota # colombia @ CORPRENSACOL @ comaldis @ loretvcomunitapic.twitter.com/2UIP5z7bcV";;@ CORPRENSACOL @ comaldis @ loretvcomunitapic;# elecciones # eleccionesregionales # politica # bogota # colombia;"1188574095190974464";https://twitter.com/impactamag/status/1188574095190974464;Muy negativo;0.03581750323322031
EnTertulia_;2019-10-27 15:48;0;1;"ELECCIONES 2019 "Hacia al futuro tendremos que abordar el voto obligatorio" @ luduque # Elecciones2019 # EleccionesColombia # EleccionesRegionales (Siguenos en vivo en facebook) / ...";;@ luduque;# Elecciones2019 # EleccionesColombia # EleccionesRegionales;"1188558123298099203";https://twitter.com/EnTertulia_/status/1188558123298099203;Muy negativo;0.22033933671924316
jonathanaraquec;2019-10-27 15:24;0;0;"# eleccionesregionales # Democracia # Nomascorruptos -- votando en las Elecciones Regionales Colombia 2019";;;# eleccionesregionales # Democracia # Nomascorruptos;"1188552192661344267";https://twitter.com/jonathanaraquec/status/1188552192661344267;Tendencia negativa;0.3137736867650787
JairoRRoaS;2019-10-27 13:59;0;0;"Dos horas para el cierre de las elecciones # EleccionesRegionales 27:10:2019.";;;# EleccionesRegionales;"1188530790990266368";https://twitter.com/JairoRRoaS/status/1188530790990266368;Muy negativo;0.21130181360440822
NoticiasMasCol;2019-10-27 13:00;0;0;"El costo de las elecciones del proximo domingo asciende a $819.220 millones. [Img:AlertaTolima] Lea la nota completa en:  # MasNoticiasCol # ColombiaElige # EleccionesRegionales # Registraduriapic.twitter.com/aEv04bZ2jz";;;# MasNoticiasCol # ColombiaElige # EleccionesRegionales # Registraduriapic;"1188515797288833025";https://twitter.com/NoticiasMasCol/status/1188515797288833025;Muy negativo;0.12525144135930172
elheraldoco;2019-10-27 11:34;36;46;"# EleccionesEH | Impiden elecciones en San Zenon y destruyen tarjetones en Pijino:  # LaCostaElige # EleccionesRegionales pic.twitter.com/HNrg6hKTKf";;;# EleccionesEH # LaCostaElige # EleccionesRegionales;"1188494259017658369";https://twitter.com/elheraldoco/status/1188494259017658369;Muy negativo;0.08721728031341196
Tuimagencom;2019-10-27 10:01;0;0;"# EHElecciones | Aliste el paraguas: Ideam pronostica lluvias en la Costa el dia de elecciones:  # LaCostaElige # EleccionesRegionales";;;# EHElecciones # LaCostaElige # EleccionesRegionales;"1188470683740901379";https://twitter.com/Tuimagencom/status/1188470683740901379;Muy negativo;0.12982578431679184
DefensoriaCol;2019-10-27 09:44;9;14;""El llamado que hacemos hoy es que todos salgamos a votar, aspiramos a que las elecciones transcurran en tranquilidad": Defensor del Pueblo desde # Cali, en apertura de la jornada electoral. # ColombiaDecide # Elecciones2019 # EleccionesColombia # EleccionesRegionales # Colombiapic.twitter.com/4buUIKUlnU";;;# Cali # ColombiaDecide # Elecciones2019 # EleccionesColombia # EleccionesRegionales # Colombiapic;"1188466611650514944";https://twitter.com/DefensoriaCol/status/1188466611650514944;Tendencia negativa;0.34694071110771296
elheraldoco;2019-10-27 09:00;2;1;"# EHElecciones | Aliste el paraguas: Ideam pronostica lluvias en la Costa el dia de elecciones:  # LaCostaElige # EleccionesRegionales pic.twitter.com/0rfwFmQd8w";;;# EHElecciones # LaCostaElige # EleccionesRegionales;"1188455306965053442";https://twitter.com/elheraldoco/status/1188455306965053442;Muy negativo;0.23210712781003381
elheraldoco;2019-10-27 06:30;0;1;"# EHElecciones | Difunden falsa encuesta de Datanalisis sobre elecciones a la Gobernacion del Atlantico:  # LaCostaElige # EleccionesRegionales pic.twitter.com/dx6xH4SBuC";;;# EHElecciones # LaCostaElige # EleccionesRegionales;"1188417558225010689";https://twitter.com/elheraldoco/status/1188417558225010689;Muy negativo;0.011543880905053336
