username;date;0;00;text;geo;mentions;hashtags;id;permalink;sentimiento;rango
facadecide;2019-10-27 22:28;0;0;"Nicolas Garcia nuevo Gobernador de Cundinamarca # FacatativaDecide # NicolasGarcia # Cundinamarca # Elecciones2019 https garcia nuevo gobernador de cundinamarca ...pic.twitter.com/tTXIZjZfsQ";;;# FacatativaDecide # NicolasGarcia # Cundinamarca # Elecciones2019;"1188658790364778496";https://twitter.com/facadecide/status/1188658790364778496;Muy negativo;0.29353474903040655
christian_fgb11;2019-10-27 20:37;1;0;"Que buenas elecciones, increible todo lo que esta pasando en Colombia... aunque, tengo que decirlo, estoy decepcionado de Cundinamarca. Elegimos mal, fue la peor decision. Elegimos # NicolasGarcia y el volteo de tierras.";;;# NicolasGarcia;"1188630751933280262";https://twitter.com/christian_fgb11/status/1188630751933280262;Muy negativo;0.22752116729911537
tatatheicon;2019-10-27 09:50;0;0;"Listo para ejercer mi derecho al voto, # AdrianGutierrez Alcalde, EdgarGomez concejal, # NicolasGarcia Gobernador. # NicolasGomez Diputado. # PuertoSalgar # Cundinamarca pic.twitter.com/T2snDkdvdV";;;# AdrianGutierrez # NicolasGarcia # NicolasGomez # PuertoSalgar # Cundinamarca;"1188468061675888641";https://twitter.com/tatatheicon/status/1188468061675888641;Muy negativo;0.17049306055169733
UrregoEduardo;2019-10-27 07:08;0;1;"Contamos con el apoyo del que sera nuestro proximo Gobernador de Cundinamarca el Dr. # NicolasGarcia. Y la razon mas importante es que los Gachalunos quieren un verdadero CAMBIO!! sustancial y real porque Juntos haremos historia. # YoamoaGachala";;;# NicolasGarcia # YoamoaGachala;"1188427209951846401";https://twitter.com/UrregoEduardo/status/1188427209951846401;Tendencia negativa;0.42319543798668646
ecospoliticos;2019-10-26 09:00;0;2;"# EcosRegion Nicolas Garcia virtual ganador en Cundinamarca http @ nicolasgarciab @ PLaTribunaFunza @ GeromettaGian @ JorgeEmilioRey # NicolasGarcia # Elecciones # CandidatosGobernacionCundinamarcapic.twitter.com/qW2QtiG2tf";;@ nicolasgarciab @ PLaTribunaFunza @ GeromettaGian @ JorgeEmilioRey;# EcosRegion # NicolasGarcia # Elecciones # CandidatosGobernacionCundinamarcapic;"1188093134674284544";https://twitter.com/ecospoliticos/status/1188093134674284544;Muy negativo;0.09421099304211851
UrregoEduardo;2019-10-25 06:21;0;1;"# Sencillosperotrabajadores Para hacer las cosas bien tenemos que tener un excelente equipo de trabajo y con el apoyo de nuestro candidato a la Gobernacion de Cundinamarca el Dr. # NicolasGarcia haremos que nuestro plan de trabajo sea posible... Solo faltas tu. pic.twitter.com/ULuHOMaGDU";;;# Sencillosperotrabajadores # NicolasGarcia;"1187690598607798274";https://twitter.com/UrregoEduardo/status/1187690598607798274;Tendencia negativa;0.3246447015279799
ANDRESDAVIDCF;2019-10-08 09:07;0;0;"Supe que # NicolasGarcia candidato a la gobernacion de Cundinamarca envio dinero a los candidatos al concejo de Zipacon, esta practica seguro es ilegal, alguien puede corregirme o estoy en lo correcto?";;;# NicolasGarcia;"1181571807146647553";https://twitter.com/ANDRESDAVIDCF/status/1181571807146647553;Muy negativo;0.008516229633429807
AndresTovarF1;2019-10-05 06:22;4;18;"Agradezco a nuestro proximo Gobernador de # Cundinamarca # NicolasGarcia , quien supo de primera mano nuestra labor y resultados al frente de la secretaria TIC del departamento y con el que tuve la maravillosa oportunidad de trabajar y consolidar el equipo del # NuevoLiderazgopic.twitter.com/e9CFALMY0F";;;# Cundinamarca # NicolasGarcia # NuevoLiderazgopic;"1180443206384836609";https://twitter.com/AndresTovarF1/status/1180443206384836609;Tendencia positiva;0.5337433320587222
RadioMalaky339;2019-10-04 21:56;0;0;"Otro candidato que se frota las manos porque ya se siente vencedor es # NicolasGarcia Gobernador de Cundinamarca. Que festin se siguen echando en este departamento. Oido los apellidos: Rozo, Rincon, Garcia, Casallas, Rey, Cruz. Se frotan las manos... Siguen chanchitos!";;;# NicolasGarcia;"1180315818669813760";https://twitter.com/RadioMalaky339/status/1180315818669813760;Muy negativo;0.013814219526894189
Carolinabonill;2019-10-04 07:40;0;0;"Por favor denuncien ya que el candidato a Gobernacion # NicolasGarcia hace parte de ese cartel es el patron de las maquinarias. # Cundinamarca necesita de su apoyo";;;# NicolasGarcia # Cundinamarca;"1180100274649796611";https://twitter.com/Carolinabonill/status/1180100274649796611;Muy negativo;0.0036030280011816
ingmalecaba;2019-09-25 13:49;0;0;"# nicolasgarcia # nicolasgarciagobernador # gobernador # cundinamarca https ...";;;# nicolasgarcia # nicolasgarciagobernador # gobernador # cundinamarca;"1176931690297643009";https://twitter.com/ingmalecaba/status/1176931690297643009;Tendencia negativa;0.3573939275066913
ingmalecaba;2019-09-25 10:03;0;0;"# gobernador # nicolasgarcia # cundinamarca en Universidad De La Sabana https ...";;;# gobernador # nicolasgarcia # cundinamarca;"1176874877455872000";https://twitter.com/ingmalecaba/status/1176874877455872000;Muy negativo;0.035919839073820375
HermesVillamil;2019-09-25 09:09;1;4;"Adulto Mayor # HermesVillamilMorales # Diputado # SuVozEnLaAsamblea de # Cundinamarca # L51 # NicolasGarcia # Gobernador # NuestroGobernador # EquipoNG @ PartidoLiberal @ nicolasgarciabpic.twitter.com/fsPI8oyQNb";;@ PartidoLiberal @ nicolasgarciabpic;# HermesVillamilMorales # Diputado # SuVozEnLaAsamblea # Cundinamarca # L51 # NicolasGarcia # Gobernador # NuestroGobernador # EquipoNG;"1176861314980962304";https://twitter.com/HermesVillamil/status/1176861314980962304;Tendencia negativa;0.46058311403655183
