username;date;0;00;text;geo;mentions;hashtags;id;permalink;sentimiento;rango
Humbertodearmas;2019-10-28 14:53;0;0;"Jajajaja cierto! Uribe es tan manoso que el mismo se puso la soga al cuello, que vivo no? Pero lo que tambien es cierto es que con sus manas hizo para el y para sus infantes Jeronimo y el otro un gran capital. Son archimillonarios los Uribe Velez/Moreno? Tremendos empresarios!!!";;;;"1188906615967236096";https://twitter.com/Humbertodearmas/status/1188906615967236096;Muy negativo;0.016742342196200074
Monchit82785028;2019-10-28 14:46;0;0;"Lambona hipocritaaa si tu le lambes a uribe velez periodista de pacotillaaa";;;;"1188904975759560704";https://twitter.com/Monchit82785028/status/1188904975759560704;Neutral;0.0
fernandotoroavi;2019-10-28 14:40;0;0;"EL CENTRO DEMOCRATICO se tiene que acabar con esa cantidad de LADRONES CORRUPTOS INVESTIGADOS TODOS RATAS hasta condenados otros con brazalete AL MANDO DE URIBE VELEZ un LADRON PARACO con licencia para robar matar Lider de la MOTOSIERRA depredador lo siguen da PENA que verguenza https ...";;;;"1188903281696923648";https://twitter.com/fernandotoroavi/status/1188903281696923648;Muy negativo;0.0008919848784870775
HernanPino14;2019-10-28 14:39;0;0;"ALVARO URIBE VELEZ Y SU CENTRO DEMONIACO https ...";;;;"1188903046580973568";https://twitter.com/HernanPino14/status/1188903046580973568;Neutral;0.0
CaracolRadio;2019-10-28 14:32;2;8;"# Viral | El primero en manifestarse fue el expresidente Alvaro Uribe Velez. http";;;# Viral;"1188901475570855936";https://twitter.com/CaracolRadio/status/1188901475570855936;Muy negativo;0.03570312741347215
Jsaavedrag45;2019-10-28 14:29;0;0;"Te pido que por favor respetes a nuestro honorable presidente Alvaro Uribe Velez, que en ningun momento te ha faltado al respeto a ti ni a tu familia";;;;"1188900620054478848";https://twitter.com/Jsaavedrag45/status/1188900620054478848;Muy negativo;0.029615673367787736
rotasarepotenet;2019-10-28 14:19;0;1;"Como restar importancia a la debacle de Alvaro Uribe Velez? Realzar la perdida de @ petrogustavo con @ HOLLMANMORRIS o no senores @ VickyDavilaH @ PirryOficial @ fdbedout @ CGurisattiNTN24 @ NestorMoralesC @ HassNassar @ lcvelez ?";;@ petrogustavo @ HOLLMANMORRIS @ VickyDavilaH @ PirryOficial @ fdbedout @ CGurisattiNTN24 @ NestorMoralesC @ HassNassar @ lcvelez;;"1188898198078791683";https://twitter.com/rotasarepotenet/status/1188898198078791683;Muy negativo;0.06749166884205397
MoisesPovedaM;2019-10-28 14:16;0;0;"De pies o muertos, pero nunca de Rodillas porque el Dios de guerra odia los cobardes y premia lo valientes. Senor Presidente Alvaro Uribe Velez reconozco su trabajo como presidente y como colombiano. Colombia lo necesita para enfrentar el socialismo, el comunismo y chavismo S 21";;;;"1188897268583292936";https://twitter.com/MoisesPovedaM/status/1188897268583292936;Muy negativo;0.011719401814256382
ELIZATWITTE;2019-10-28 14:14;0;0;"Si lagarto!!!!!";;;;"1188896831364915201";https://twitter.com/ELIZATWITTE/status/1188896831364915201;Neutral;0.0
HG07161176;2019-10-28 14:14;0;0;"Incluyamos a Maria Isabel rueda Luis Carlos Velez Nestor morales julio Sanchez y otros mas por alli enemigos agazapados de la Paz y lambones de Uribe esos tambien son perdedores https ...";;;;"1188896728507994112";https://twitter.com/HG07161176/status/1188896728507994112;Muy negativo;0.2417091158509983
pealejo;2019-10-28 14:12;0;0;"MUY CIERTO Y NO HAY QUE OLVIDAR QUE URIBE VELEZ ISO SU APUESTA AL TRIPLE PARA IR A LA FIJA SERGIO FAJARDO ES CLARO QUE ES LA ESCORIA DE LOS POLITICOS TRADICIONALES CORRUPTO ALIADO DE BANDAS CRIMINALES COMO LA OFICINA DE ENVIGADO TODO ESTA PARA REESCRIBIR LA HISTORIA";;;;"1188896452329820166";https://twitter.com/pealejo/status/1188896452329820166;Neutral;0.0
master_thinking;2019-10-28 14:05;1;2;""Ivan Duque esta a anos luz de ser Alvaro Uribe Velez": @ AgustinLaje Agustin Laje min: 13https ...";;@ AgustinLaje;;"1188894681310138368";https://twitter.com/master_thinking/status/1188894681310138368;Muy negativo;0.17669505607348496
