username;date;0;00;text;geo;mentions;hashtags;id;permalink;sentimiento;rango
CMerchan;2019-10-28 09:35;0;0;"La actitud de Claudia Lopez en su discurso y la de Galan en tener mas intencion de unirse que de oponerse es de admirar. Ojala esta sea la linea de la nueva politica en Bogota. Y lo mejor, la cachetada a Petro y a Uribe. Asi se debe castigar a todo el que huela a caudillismo.";;;;"1188826513317253121";https://twitter.com/CMerchan/status/1188826513317253121;Muy negativo;0.012058900797788857
enestepaisradio;2019-10-28 09:35;0;0;"# EnEstePais Claudia Lopez es la primera alcaldesa de Bogota elegida en las urnas | Via: @ UNoticias # 28Oct";;@ UNoticias;# EnEstePais # 28Oct;"1188826502965559296";https://twitter.com/enestepaisradio/status/1188826502965559296;Tendencia negativa;0.3221499683511443
HectorBodm;2019-10-28 09:34;0;0;"COMO LE DUELE LA PALIZA QUE LE DIO @ ClaudiaLopez A SU TITERE @ HOLLMANMORRIS esta pelea es de alquilar balcon.pic.twitter.com/8ZQmWXQ5Sx";;@ ClaudiaLopez @ HOLLMANMORRIS;;"1188826497890562048";https://twitter.com/HectorBodm/status/1188826497890562048;Neutral;0.0
Chris_NavarroCO;2019-10-28 09:34;0;0;"Eso no va a pasar, el unico punto para el acuerdo programatico era no ejecutar el metro elevado corrupto. Claudia Lopez no va a reversarlo y las dos mujeres que mencionas tampoco van a defender principios de la Colombia Humana porque simplemente no los tienen.";;;;"1188826479028768768";https://twitter.com/Chris_NavarroCO/status/1188826479028768768;Muy negativo;0.004346528387477043
MateoAT3;2019-10-28 09:34;0;0;"Gustavo petro no se vende a la corrupcion";;;;"1188826478529658885";https://twitter.com/MateoAT3/status/1188826478529658885;Neutral;0.0
delrojo888;2019-10-28 09:34;0;0;"Dr. @ CarlosFGalan se perdio con la unica competencia q podia ganarle. @ ClaudiaLopez. Ahora desde el Concejo a seguir fortaleciendo sus capacidades y a la creacion del nuevo partido Millennials Centro, quienes votamos por ud, estamos mamados de los extremos y la division politica.";;@ CarlosFGalan @ ClaudiaLopez;;"1188826465338564610";https://twitter.com/delrojo888/status/1188826465338564610;Muy negativo;0.006923999994023007
valcorn31;2019-10-28 09:34;0;0;"Necesito sus argumentos fuertes de por que no les gusta Claudia Lopez que no sea por su apariencia ...";;;;"1188826463333683202";https://twitter.com/valcorn31/status/1188826463333683202;Tendencia positiva;0.6645715883583009
andrecaro88;2019-10-28 09:34;0;0;"Felicidades Martin! Que este sea un camino de mucho trabajo por nuestra amada ciudad. Gracias por representar una juventud decidida por lo publico. Un abrazo";;;;"1188826445512085504";https://twitter.com/andrecaro88/status/1188826445512085504;Muy positivo;0.9163062365278904
javierortiz82;2019-10-28 09:34;0;0;"Jorge, apoyaremos lo que se deba apoyar, pero no podemos evadir las objeciones de conciencia como lo hacen ud y @ mjsarmientoa, el metro elevado es un esperpento, un monumento a la corrupcion y a la politiqueria que usted tanto se ufana de combatir.";;@ mjsarmientoa;;"1188826442022432768";https://twitter.com/javierortiz82/status/1188826442022432768;Tendencia negativa;0.4792641483933057
UribeDidier;2019-10-28 09:34;0;0;"Sres habla la tramadora de Claudia Lopez en la @ lafm todo un drama de demagogia barata, victima de la vida la sufrida no pero se va dedicar a gobernar con lo sufrido de la vida que oso,";;@ lafm;;"1188826432132308992";https://twitter.com/UribeDidier/status/1188826432132308992;Muy negativo;0.04273508165013731
