username;date;0;00;text;geo;mentions;hashtags;id;permalink;sentimiento;rango
TrajanoAndino;2019-10-28 10:32;1;1;"Si yo fuera @ ClaudiaLopez o @ AngelicaLozanoC, tapizaria mi casa con afiches de Miguel Uribe y su popular "avancemos". De no ser por el, Galan hubiera ganado. Miguel fue el Fajardo de estas elecciones. # SePuede";;@ ClaudiaLopez @ AngelicaLozanoC;# SePuede;"1188841096199266304";https://twitter.com/TrajanoAndino/status/1188841096199266304;Muy negativo;0.24309972788841205
Stefann80857848;2019-10-27 22:32;0;1;"Avancemos en la la ruta democratica por el cese de la usurpacion, gobierno de transicion y elecciones libres";;;;"1188659863385067520";https://twitter.com/Stefann80857848/status/1188659863385067520;Muy negativo;0.13160553274111703
Marialabibto;2019-10-27 22:18;2;11;"Miguel estamos con el corazon arrugado realmente esperabamos que la victoria fuera tuya en estas elecciones! Pero me anima el saber que el plan de Dios es perfecto y tiene cosas grandes para ti! Eres un hombre brillante, excelente y tus propuestas realmente eran las mejores";;;;"1188656242530631680";https://twitter.com/Marialabibto/status/1188656242530631680;Tendencia positiva;0.5140090733322427
Melodyfigueredo;2019-10-27 20:19;0;0;"El dia que hayan elecciones en buena ley, sin que hayan irregularidades, ese dia quizas avancemos";;;;"1188626275000311809";https://twitter.com/Melodyfigueredo/status/1188626275000311809;Muy negativo;0.08652150166880399
ElElectoral;2019-10-27 18:29;6;13;"COLOMBIA | Elecciones locales en Bogota Claudia Lopez (Alianza Verde+Polo: centroizquierda/izquierda) 35,2 % Carlos F. Galan (Bogota para la gente) 32,5 % Hollman Morris (Colombia Humana: centroizquierda) 14 % Miguel Uribe (Avancemos: centro/derecha) 13,6 %";;;;"1188598722411794437";https://twitter.com/ElElectoral/status/1188598722411794437;Tendencia positiva;0.5107015228532414
JUANCHO1979;2019-10-27 15:52;0;0;"# avancemos Bogota -- votando en las Elecciones Regionales Colombia 2019";;;# avancemos;"1188559177867759618";https://twitter.com/JUANCHO1979/status/1188559177867759618;Tendencia negativa;0.40024165353318075
JEMUNAR1;2019-10-27 14:38;1;2;"Con las encuestas amanadas que dan por perdedor no debemos preocuparnos. Es como una invitacion a sacarlo en las elecciones de ese cuarto lugar en esas encuestas a punta de votos y lograr la victoria, por eso todos # Avancemos y logremos que # MiguelUribeAlcalde # YaVoteMiguel";;;# Avancemos # MiguelUribeAlcalde # YaVoteMiguel;"1188540558274416640";https://twitter.com/JEMUNAR1/status/1188540558274416640;Muy negativo;0.02221175815923226
alfonsocotera;2019-10-27 13:50;0;0;"Entendible tu decision de poner por delante la coherencia y la etica en la actividad politica. Entendible, tambien, la decision de apostar por una intervencion unitaria en las proximas elecciones. Creo que ha faltado mayor debate y reflexion. Avancemos.";;;;"1188528399494631427";https://twitter.com/alfonsocotera/status/1188528399494631427;Tendencia negativa;0.36840966290286997
realpulido;2019-10-27 13:19;0;0;"# VerdadElecciones2019 por favor, ojala sean las ultimas elecciones que se gaste papel, no por la tala de arboles sino porque se debe implementar el voto electronico (corrupcion) . Avancemos!!!!";;;# VerdadElecciones2019;"1188520649305853958";https://twitter.com/realpulido/status/1188520649305853958;Muy negativo;0.01948720639649066
APPSComuna12;2019-10-27 12:35;2;3;"Por favor denuncien. Queremos elecciones limpias. # denuncien # Elecciones2019 # fraudehttps ...";;;# denuncien # Elecciones2019 # fraudehttps;"1188509503685365760";https://twitter.com/APPSComuna12/status/1188509503685365760;Muy negativo;0.009839570372846987
barragan_sanc;2019-10-27 04:04;2;3;"Buenos dias familia Uribista, hoy tenemos que demostrar una vez mas que la izquierda gana encuestas y tendencias, pero los uribistas ganamos elecciones. @ MiguelUribeT @ AlvaroUribeVel # Avancemos # 27Oct";;@ MiguelUribeT @ AlvaroUribeVel;# Avancemos # 27Oct;"1188381047744094209";https://twitter.com/barragan_sanc/status/1188381047744094209;Muy negativo;0.0024842757937763205
FelipeMercadoD;2019-10-27 01:50;0;1;"Muchos se unen para ganar encuestas ! Nosotros nos unimos para ganar elecciones ! # MiguelUribeAlcalde @ MiguelUribeT # Avancemos !!!";;@ MiguelUribeT;# MiguelUribeAlcalde # Avancemos;"1188347189782822912";https://twitter.com/FelipeMercadoD/status/1188347189782822912;Muy negativo;0.06161851343573464
