id,texto,RT_Count,Favorite_Count
1,"b'Tratar de fracasado a un joven de 33anos y exitoso en sus funciones, es la incoherencia mas grande de @ClaudiaLopez al referirse a su rival politico y candidato a la alcaldia @MiguelUribeT, mas cuando ella le hace promesas a la juventud, ?la fracasada no sera la de 50?'",4,0
2,b'Me encanta la familia de @MiguelUribeT  https://t.co/lbREunYM6t',62,0
3,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
4,b'Mis respetos \nPara @MiguelUribeT \n\nSu mama \nDiana Turbay \nFue secuestrada y asesinada (rescate fallido)  por Pablo Escobar\n\nY NUNCA\nNUNCA lo escucho victimizarse',5,0
5,"b'@MiguelUribeT Dr @MiguelUribeT en el tiempo de experiencia en los cargos mencionados ?Que hizo para combatir la falta de: educacion, seguridad, transporte, salud,entre otras problematica que accedian a los bogotanos? Los cargos no dicen nada, lo importante son  resultados'",0,0
6,"b'Desde muy temprano estuvimos hoy en San Victorino, escuchando las preocupaciones de los comerciantes y llevando nuestras propuestas. \n\nEsta zona ha traido empleo y desarrollo para nuestra ciudad, hemos trabajado en equipo. Cuentan conmigo cuando sea Alcalde.\n\n#Avancemos https://t.co/hZzPOHxfAw'",300,0
7,"b'Dr @MiguelUribeT en el tiempo de experiencia en los cargos mencionados ?Que hizo para combatir la falta de: educacion, seguridad, transporte, salud,entre otras problematica que accedian a los bogotanos? Los cargos no dicen nada, lo importante son  resultados https://t.co/gZCJofknsj'",0,0
8,"b'@MariaUribestia @AlvaroUribeVel @MiguelUribeT JAJAJAJAJAJAJA JAJAJAJAJAJAJA JAJAJAJAJAJAJA JAJAJAJAJAJAJA JAJAJAJAJAJAJA JAJAJAJAJAJAJA JAJAJAJAJAJAJA JAJAJAJAJAJAJA JAJAJAJAJAJAJA\nURIBESTIALISMO CORRUPTO Y MENTIROSO\nBrutos,TOXICOS'",0,0
9,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
10,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
11,b'?Para usted quien debe ser el proximo alcalde de @Bogota? #DebatesCristovision @MiguelUribeT @ClaudiaLopez @CarlosFGalan @HOLLMANMORRIS',464,0
12,b'Muy pronto les estaremos contando que piensan @ClaudiaLopez @HOLLMANMORRIS @CarlosFGalan sobre temas de justicia social relevantes para la ciudad. #Drogas #Violenciapolicial #hanitantesdecalle #genero #Lgbti y otros temas relevantes para la ciudad. @MiguelUribeT contestanos porfa',2,0
13,"b'Tenemos el coraje y la firmeza para defender la seguridad y el desarrollo sostenible. @MiguelUribeT Alcalde, @josiasfiesco Concejo #CD18 #Avancemos https://t.co/pos8SReOkK'",69,0
14,b'@AlvaroUribeVel @MiguelUribeT es el nuevo MONIGOTE de @AlvaroUribeVel y Bogota caeria en la corrupcion que vive Colombia con el gobierno del ',1,0
15,b'#MovidaPolitica Esta noche @MiguelUribeT y @CarlosFGalan comenzaron las cunas en television',2,0
16,b'?Para usted quien debe ser el proximo alcalde de @Bogota? #DebatesCristovision @MiguelUribeT @ClaudiaLopez @CarlosFGalan @HOLLMANMORRIS',464,0
17,b'?Para usted quien debe ser el proximo alcalde de @Bogota? #DebatesCristovision @MiguelUribeT @ClaudiaLopez @CarlosFGalan @HOLLMANMORRIS',464,0
18,"b'Si @petrogustavo hubiese cometido el GRAN ERROR,de hacer los estudios de un metro elevado""@CarlosFGalan y @ClaudiaLopez""estarian defendido el subterraneo"".Despierten ELLOS no piensan en Bogota,si no en ""calculo$""politico$ incluyendo al hijo lento de @EnriquePenalosa @MiguelUribeT https://t.co/Q1FYCjCgQ9'",257,0
19,b'El acierto de @MiguelUribeT es la coherencia y la firmeza en sus posiciones @Hora20 https://t.co/BR9Y57Q6zK',111,0
20,b'El nefasto Alcalde @EnriquePenalosa le hizo un gran dano a Bogota.\nLos bogotanos no deben darle ni un solo voto a quienes destruyeron a Bogota.\n@MiguelUribeT @CarlosFGalan https://t.co/B9HEl3We8b',130,0
21,b'@ghitis @MiguelUribeT Jajajajaja jajajajaja jajajajaja jajajajaja jajajajaja',0,0
22,b'El nefasto Alcalde @EnriquePenalosa le hizo un gran dano a Bogota.\nLos bogotanos no deben darle ni un solo voto a quienes destruyeron a Bogota.\n@MiguelUribeT @CarlosFGalan https://t.co/B9HEl3We8b',130,0
23,b'La experiencia no se improvisa.\nVotemos por quien SI tiene la experiencia. \n#Avancemos con @MiguelUribeT https://t.co/pOj7yDeROF',330,0
24,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
25,"b'Si Bogota comete el gravisimo error de elegir a Claudia Lopez alcaldesa; la inmoralidad, la incoherencia, la decadencia familiar y el desorden estaran a la orden cada dia. Seria vergonzoso. Quienes creemos en Dios tenemos que orar para que esta senora no gane. \n@MiguelUribeT'",27,0
26,b'@realHugoNorrea @S4ndr4Rod @samuelangel @MiguelUribeT ',0,0
27,"b'Si Bogota comete el gravisimo error de elegir a Claudia Lopez alcaldesa; la inmoralidad, la incoherencia, la decadencia familiar y el desorden estaran a la orden cada dia. Seria vergonzoso. Quienes creemos en Dios tenemos que orar para que esta senora no gane. \n@MiguelUribeT'",27,0
28,b'?Para usted quien debe ser el proximo alcalde de @Bogota? #DebatesCristovision @MiguelUribeT @ClaudiaLopez @CarlosFGalan @HOLLMANMORRIS',464,0
29,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
30,"b'#DemocraciaEs garantizar el bienestar de los ciudadanos, por eso vamos a trabajar de la mano con @MiguelUribeT para facilitar acceso y oportunidades de empleo. \n\nEsta es #LaFuerzaQueNosUne para que #Avancemos en Bogota. \n\nConozca mas aqui: https://t.co/FtRUucqIAu https://t.co/jhe1myXsrG'",64,0
31,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
32,"b'Tenemos el coraje y la firmeza para defender la seguridad y el desarrollo sostenible. @MiguelUribeT Alcalde, @josiasfiesco Concejo #CD18 #Avancemos https://t.co/pos8SReOkK'",69,0
33,b'Mas carceles.  La misma desastrosa propuesta de @MiguelUribeT en Bogota.\nCurioso. https://t.co/XYTwGeeTUp',0,0
34,b'La experiencia no se improvisa.\nVotemos por quien SI tiene la experiencia. \n#Avancemos con @MiguelUribeT https://t.co/pOj7yDeROF',330,0
35,b'@JulianEJimenezS @julian09248923 @CRISTOVISION @Bogota @MiguelUribeT @ClaudiaLopez @CarlosFGalan @HOLLMANMORRIS Miguel Uribe representa esto \n\nY lo poco que ejecuto es en funcion de sus amiguis https://t.co/ElSUsc8qd5',0,0
36,b'La experiencia no se improvisa.\nVotemos por quien SI tiene la experiencia. \n#Avancemos con @MiguelUribeT https://t.co/pOj7yDeROF',330,0
