username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
NICOLUKAS1987,16/10/19 17:10,0,0,La sed me ataca y mi garganta lo sabe... Sabe que??? Sabe que # AguilaFusionLimon me puede sacar de este desierto... https://www.facebook.com/story.php?story_fbid=560795164663457&id=100021989360748 ...,,,# AguilaFusionLimon,1.18E+18,https://twitter.com/NICOLUKAS1987/status/1184592596506685441
ElViruleas,16/10/19 16:16,0,1,"- !Marica! Yo tomo es @ CervezaAguila - Parce, solo habia Poker. # aguilafusionlimon pic.twitter.com/OlfhJHGLzy",,@ CervezaAguila,# aguilafusionlimon,1.18E+18,https://twitter.com/ElViruleas/status/1184579011986513920
CervezaAguila,16/10/19 15:52,0,0,"Tienes la oportunidad de ir gracias a Aguila Fusion Limon, solo debes ingresar en este link https://bit.ly/2BftjHN y seguir las instrucciones.",,,,1.18E+18,https://twitter.com/CervezaAguila/status/1184572765942288384
sixtor1,16/10/19 15:47,0,0,# Expocervezas debe ser un momento agradable con amigos # AguilaFusionLimon super quiero ir soy en facebook sixto ramos @ sixtor1 saludos,,@ sixtor1,# Expocervezas # AguilaFusionLimon,1.18E+18,https://twitter.com/sixtor1/status/1184571606171082753
Geralorena2010,16/10/19 15:18,0,2,Mis cervezas favoritas son todas las de mi familia Aguila y aun mas que acompanan una de mis fechas especiales este ano mi Aniversario #17 que fusion de momentos # aguilafusionlimon @ CervezaAguila,,@ CervezaAguila,# aguilafusionlimon,1.18E+18,https://twitter.com/Geralorena2010/status/1184564252578893825
ShyrleyvysB,16/10/19 15:09,0,0,"Me quede esperando mi aguila fusion limon, el camion no llego",,,,1.18E+18,https://twitter.com/ShyrleyvysB/status/1184562040096149505
Geralorena2010,16/10/19 14:32,0,1,@ CervezaAguila Nada mas emocionante que asistir a EXPOCERVEZA en la mejor fecha de aniversario 17 de Octubre y fusionar la alegria y momentos especiales con magno evento junto a tu compania # susyrocha # aguilafusionlimon,,@ CervezaAguila,# susyrocha # aguilafusionlimon,1.18E+18,https://twitter.com/Geralorena2010/status/1184552603897782272
CervezaAguila,15/10/19 15:07,1,0,"Greys, eso es amor a primera fria, me encanta que disfrutes tanto de # AguilaFusionLimon.",,,# AguilaFusionLimon,1.18E+18,https://twitter.com/CervezaAguila/status/1184199027350482945
Juankarlos827,15/10/19 13:05,2,1,"Si tu novio toma Aguila fusion Limon en el Cristal, para mi estas soltera.",,,,1.18E+18,https://twitter.com/Juankarlos827/status/1184168398797918209
sebastianpasto4,15/10/19 12:34,0,0,"@ CervezaAguila usteds si son definitivamente un fraude, se supone que hace un mes me debia llegar la cerveza aguila fusion limon y nunca llego que falta de respeto para que promocionan cosas que no van a cumplir.. # SonUnFraude",,@ CervezaAguila,# SonUnFraude,1.18E+18,https://twitter.com/sebastianpasto4/status/1184160716418367490
