username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimiento;rango
CarlosFGalan;2019-11-14 12:44;167;1476;"Muy buena noticia la adjudicacion de la licitacion que permitira la llegada de 379 buses electricos a Bogota BogotaParaLaGente apoyara todos los esfuerzos que permitan migrar hacia una movilidad sostenible";;;# BogotaParaLaGente;"1195034857262526465";https://twitter.com/CarlosFGalan/status/1195034857262526465;Tendencia positiva;0.5314462548733369
CarlosFGalan;2019-11-12 09:52;145;1376;"Esta es la bancada de Bogota para la gente Vamos a defender la vision que 1 022 362 electores acompanaron el pasado 27 de octubre BogotaParaLaGente";;@ MariGomezGirald@ juanbaenam;# BogotaParaLaGentepic;"1194266769218781186";https://twitter.com/CarlosFGalan/status/1194266769218781186;Tendencia negativa;0.4769851103941276
CarlosFGalan;2019-11-10 19:40;1837;9421;"Ni de izquierda ni de derecha en democracia nadie debe buscar perpetuarse en el poder cuando intentan hacerlo quiebran los principios democraticos";;;;"1193689825259466752";https://twitter.com/CarlosFGalan/status/1193689825259466752;Muy negativo;0.01610156774802072
CarlosFGalan;2019-11-09 15:55;0;7;"Un abrazo fuerte a todos Ellos desde alla nos cuidaran";;;;"1193270854999838721";https://twitter.com/CarlosFGalan/status/1193270854999838721;Tendencia positiva;0.5254731463246406
CarlosFGalan;2019-11-08 18:48;424;3244;"Siempre pedimos a nuestros seguidores que no pusieran publicidad en el espacio publico Sin embargo a veces algunos no hacen caso Les pido a los que vean este tuit que si saben de alguna publicidad que no haya sido desmontada me avisen para desmontarla Gracias";;;;"1192952114055651328";https://twitter.com/CarlosFGalan/status/1192952114055651328;Muy negativo;0.01579299788760286
CarlosFGalan;2019-11-07 20:23;150;711;"La salud la enfermedad el envejecimiento y la muerte nos acompanan siempre a lo largo de la ruta y junto con el dolor nos tornan humildes solidarios respetuosos y son maestros que nos reafirman el destino comun que tenemos Comprender esto es entender el amor Augusto Galan";;;;"1192613460380663809";https://twitter.com/CarlosFGalan/status/1192613460380663809;Muy positivo;0.7169191195694228
CarlosFGalan;2019-11-07 16:55;30;321;"Lamento profundamente la muerte de German Bahamon Vanegas Un abrazo para sus hijos y y para toda la familia";;@ GermanBahamon@ CLAUDIABAHAMON@ MateoBahamon;;"1192561349580197888";https://twitter.com/CarlosFGalan/status/1192561349580197888;Muy negativo;0.23462723822186118
CarlosFGalan;2019-11-06 08:12;1726;8553;"El Ministro de Defensa debe renunciar Grave falla en inteligencia demuestra la orden de autorizar un bombardeo a un sitio con la presencia de menores de edad Grave ocultar esa informacion despues de ocurrido el bombardeo";;;;"1192067327329738752";https://twitter.com/CarlosFGalan/status/1192067327329738752;Muy negativo;0.09518276469626101
CarlosFGalan;2019-11-02 12:57;665;6710;"Creo haber contribuido al cambio de la discusion politica Si cambiamos la manera de hacer politica volveremos a pensar en la gente como objetivo de cualquier accion politica y asi cambiaremos el pais Esto apenas comienza seguiremos adelante";;;;"1190689293175607297";https://twitter.com/CarlosFGalan/status/1190689293175607297;Tendencia positiva;0.526818442427079
CarlosFGalan;2019-10-31 20:49;90;1246;"VOLVEREMOS Gracias por la foto";;@ LuisErnestoGL;;"1190083457638182916";https://twitter.com/CarlosFGalan/status/1190083457638182916;Muy positivo;0.9596666197184138
