username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimiento;rango
jsrada;2019-11-22 08:37;0;0;"denunciamos las provocaciones de parte de la Esmad nadie nos detuvo eramos estudiantes yendo hacia la Plaza Bolivar Mamatoco no nos era suficiente Era Paro Nacional tenia que sentirse";;@ ElInformador_SM;;"1197871803462541312";https://twitter.com/jsrada/status/1197871803462541312;Muy negativo;0.042245402010444
Andrea_Q23;2019-11-22 08:37;0;0;"Colombia Despierta Esto es por ti y por mi hay que cambiar a nuestro pais el uribismo lo esta acabando ParoNacional ElParoApenasComienza";;;# ParoNacional# ElParoApenasComienza;"1197871727608504321";https://twitter.com/Andrea_Q23/status/1197871727608504321;Muy negativo;0.008615243955167709
Alizpedrozo;2019-11-22 08:37;0;0;"Esta muy bien marchar pacificamente pero lastimosamente despues de todo los desmanes a los que les toca limpiar son a los que trabajan con el aseo Que desconsideracion Paro21Noviembre paronacional cacerolazo citytv";;;# Paro21Noviembre# paronacional# cacerolazo# citytv;"1197871642485121025";https://twitter.com/Alizpedrozo/status/1197871642485121025;Tendencia negativa;0.32149438445313516
miguelmecro27;2019-11-22 08:35;0;0;"Si y tambien siento ganas que el paronacional se siga teniendo hasta que se logren los cambios necesarios";;;# paronacional;"1197871341938118656";https://twitter.com/miguelmecro27/status/1197871341938118656;Muy negativo;0.046829248462996756
ArmandoDuqueP;2019-11-22 08:33;0;0;"El Cacerolazo de anoche 21N no fue el final del Paro Nacional es apenas el comienzo Ayer se marco un hito en nuestra historia Cientos de miles dijeron No mas";;;# Cacerolazo# 21N;"1197870835341709312";https://twitter.com/ArmandoDuqueP/status/1197870835341709312;Muy negativo;0.2241015677566798
RodrigoUprimny;2019-11-22 08:31;13;24;"Muy buen hilo de Pablo Abitbol sobre el paro nacional de ayer";;;;"1197870316762140672";https://twitter.com/RodrigoUprimny/status/1197870316762140672;Tendencia positiva;0.5337348448694255
NoticiasCaracol;2019-11-22 08:31;2;4;"En Manizales el paro nacional dejo 4 estudiantes universitarios y 3 policias heridos LoQueDejaElParo";;;# LoQueDejaElParopic;"1197870148784275460";https://twitter.com/NoticiasCaracol/status/1197870148784275460;Muy negativo;0.10319623168370527
CaracolRadio;2019-11-22 08:31;9;15;"ParoNacional Ciudadanos del Tintal bloquean las vias Piden que les devuelvan el dinero de pasaje de porque no fueron informados que este portal estaba cerrado";;@ TransMilenio;# ParoNacional;"1197870100470280192";https://twitter.com/CaracolRadio/status/1197870100470280192;Muy negativo;0.003223516359612095
NoticiasCaracol;2019-11-22 08:30;15;46;"Investigan abusos por parte de policias contra manifestantes durante el paro nacional LoQueDejaElParo";;;# LoQueDejaElParopic;"1197869999743852544";https://twitter.com/NoticiasCaracol/status/1197869999743852544;Muy negativo;0.07387769238409982
CORRUPTOS_NO_MS;2019-11-22 08:30;0;0;"Los Verdes los realmente Verdes siempre apoyan las causas que importan a los pereiranos Hoy en el Gran Paro Nacional 21 N En la plaza de Bolivar los Concejales electos Nancy Henao y Esteban Ganan en medio de la multitud ratifican su espiritu de servicio";;;;"1197869940080041986";https://twitter.com/CORRUPTOS_NO_MS/status/1197869940080041986;Tendencia positiva;0.5134148897310625
