username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimiento;rango
parragabriels;2019-11-20 16:49;1;1;"foto cortesia de Yon Aguirre";;@ AUGUSTOOCAMPO@ periodista19@ IvanDuque@ GarciaColorad0@ navarrowolff@ ClaudiaLopez@ AndresCamiloHR@ labrujaquevuela;;"1197270865282568197";https://twitter.com/parragabriels/status/1197270865282568197;Neutral;0.0
Democrata_1;2019-11-20 16:49;0;0;"Asi se pone el cuando le tocan a sus mesias sale a chillar y a defenderlos a como de lugar no le importa que claudia este muda acerca del paro nacional lo que importa es insultar y pelear para defenderla porque es su mesias una de los que tiene";;;;"1197270715088691200";https://twitter.com/Democrata_1/status/1197270715088691200;Muy negativo;0.03703876779519454
Cabildo_Digital;2019-11-20 16:46;0;0;"Vamos todos de las manos y en paz fortalecer la democracia educando nuevas ciudadanias las directas y con mensajes constructivos manifestemos indignacion por sistematica masacre de lideres e indigenas";;@ ClaudiaLopez;;"1197270127881965572";https://twitter.com/Cabildo_Digital/status/1197270127881965572;Muy negativo;0.11699447258552924
PayaresB;2019-11-20 16:45;0;0;"TE GUSTARIA QUE LOS VANDALOS ACABARAN CON UN PATRIMONIO TUYO QUE LO HAS HECHO CON MUCHO ESFUERZO";;;;"1197269867285667847";https://twitter.com/PayaresB/status/1197269867285667847;Neutral;0.0
stellapg;2019-11-20 16:45;0;0;"Ninguna ciudad necesita militarizacion para una movilizacion Claudia Lopez";;;;"1197269833315966980";https://twitter.com/stellapg/status/1197269833315966980;Tendencia negativa;0.4435098556082063
johnmikan;2019-11-20 16:44;0;0;"Ninguna ciudad necesita militarizacion para una movilizacion Claudia Lopez";;;;"1197269437960855559";https://twitter.com/johnmikan/status/1197269437960855559;Tendencia negativa;0.4435098556082063
nelsonvanegas;2019-11-20 16:40;0;0;"Ninguna ciudad necesita militarizacion para una movilizacion Claudia Lopez";;;;"1197268459706617856";https://twitter.com/nelsonvanegas/status/1197268459706617856;Tendencia negativa;0.4435098556082063
LeonardoPuer;2019-11-20 16:40;0;0;"No senor no tenemos miedo el miedo lo tiene el gobierno De ocurrir desmanes el ejercito esta preparado para que Para disparar y asesinar";;;;"1197268434838536192";https://twitter.com/LeonardoPuer/status/1197268434838536192;Muy negativo;0.0682832688122145
parragabriels;2019-11-20 16:21;0;0;"foto de Aguirre";;@ IvanDuque@ hernanonatra@ periodista19@ ClaudiaLopez@ AUGUSTOOCAMPO@ navarrowolff@ GarciaColorad0;;"1197263633044119552";https://twitter.com/parragabriels/status/1197263633044119552;Neutral;0.0
eyrd0507;2019-11-20 16:14;2;5;"Uds se imaginan que ese despliegue de Caracol y Rcn y los medios para infundir terror por el paro del 21N se hubiese dado para la consulta Anticorrupcion Les cuesta darse cuenta que los medios estan vendidos al poder";;@ merv59@ ClaudiaLopez@ JotaBD@ NanyPardo@ Elijim12;;"1197261977543958529";https://twitter.com/eyrd0507/status/1197261977543958529;Muy negativo;0.02829525566351259
CaracolRadio;2019-11-20 16:12;6;34;"Nacional La alcaldesa electa invito a la opinion publica a no infundir temor por la jornada de paro nacional";;@ ClaudiaLopez;# Nacional;"1197261413229760512";https://twitter.com/CaracolRadio/status/1197261413229760512;Tendencia negativa;0.2932486798118242
Dianalocombiana;2019-11-20 16:04;0;0;"CONSTRUCTIVA es la palabra clave Eso lidere la transformacion de una oposicion saboteadora y revenchista a la Petro Penalosa a una constructiva con propuestas Esten dispuestos a trabajar junto con el gobierno y grupos de interes por un bien comun Sin populismo irresponsable";;;;"1197259552598695943";https://twitter.com/Dianalocombiana/status/1197259552598695943;Tendencia negativa;0.43425078154300145
YoSoloyosiempre;2019-11-20 15:57;0;0;"1 Claudia no es Alcaldesa en ejercicio aun asi que es como si no existiera 2 Se entero que no es la primera vez";;;;"1197257631544594432";https://twitter.com/YoSoloyosiempre/status/1197257631544594432;Muy negativo;0.02683525086374006
ginamarcela84;2019-11-20 15:50;0;1;"Hoy si debo aplaudir esto Ahi nos veremos Ojala el gobierno si de garantias reales YoParoEl21N";;;# YoParoEl21N;"1197255836592197632";https://twitter.com/ginamarcela84/status/1197255836592197632;Tendencia negativa;0.27181514644157717
esca1999;2019-11-20 15:47;0;0;"Claudia Lopez invito a marchar en el paro del 21 de noviembre";;;;"1197255257958555648";https://twitter.com/esca1999/status/1197255257958555648;Muy negativo;0.1447570764262192
nova_perez;2019-11-20 15:42;0;1;"La senora tenia derecho de descansar finalmente le espera un gran chicharron";;;;"1197253951789379586";https://twitter.com/nova_perez/status/1197253951789379586;Tendencia positiva;0.5219828790749568
stellapg;2019-11-20 15:19;0;0;"Claudia Lopez invito a marchar en el paro del 21 de noviembre";;;;"1197248238639820800";https://twitter.com/stellapg/status/1197248238639820800;Muy negativo;0.1447570764262192
JuanK148;2019-11-20 15:09;0;0;"Estos pobres fanaticos petristas ni castellano saben escribir se dice va a pasar no meta el verbo haber donde no cabe";;;;"1197245698867105795";https://twitter.com/JuanK148/status/1197245698867105795;Muy negativo;0.05841316491391181
Mariae1017;2019-11-20 15:09;1;2;"Asi sera a pesar de todo el terrorismo que nos han metido";;;;"1197245605296381952";https://twitter.com/Mariae1017/status/1197245605296381952;Muy negativo;0.13952556059393373
