Texto,Sentimiento
texto,0.541333260777616
"O sea que @EnriquePenalosa no contento con regalarle  $10 mill MILLONES a la Fundacion Galan:https://t.co/tw2Sku6S3K
Ahora le hace tambien encuestas manipuladas como la @Datexco a su candidato @CarlosFGalan.Se gasto ha$256 millones en mejorar su imagen,ahora tambien en encuestas: https://t.co/qzy4PvQSzR",0.023377610725900184
@Sumercequeopina @sergio_fajardo @ClaudiaLopez @JERobledo @CarlosFGalan La misma vaina sumerce... lo unico alternativo: las propuestas de Hollman!,0.07043696721770651
El fastidio que le tengo a @CarlosFGalan es directamente proporcional al fastidio que le tengo a @EnriquePenalosa. No puede se que vayamos a padecer 4 anos mas de ineptitud.,0.012418942602625983
"Seguimos creciendo, esta vez en la ultima Datexco. Asi lo registro La W esta manana. Cerraremos como se debe, trabajando, con humildad, en la calle. Todavia falta mucho, sin confiarnos. Feliz noche! 
#BogotaParaLaGente https://t.co/Lp5uE8VkYT",0.25641521257783956
"Proponente de reficar, ruta del sol e hidroituango elevado fue inhabilitado por el @BancoMundialLAC alguna otra razon necesita para no votar por @ClaudiaLopez y sus ""concejales""? porque la amenaza que va ganar @CarlosFGalan @MiguelUribeT si no votan por Claudia Nayibe es fakenews https://t.co/ffKd1L5NKt",0.20681770491225435
"7) Finalizo este hilo preguntandome si esto al menos cuestiona a los candidatos que defienden el metro elevado? @ClaudiaLopez @CarlosFGalan @MiguelUribeT.

Esto se suma a las denuncias que han venido haciendo @HOLLMANMORRIS y @petrogustavo sobre corrupcion en ese proyecto.",0.00946786463379997
@CarlosFGalan Donde se consiguen los afiches y los stickers?,0.7632088075590275
"@CarlosFGalan Si pero a la distancia,( yo iba en una buseta) :)",0.49112687480421446
"Te explico las diferencias entre @ClaudiaLopez y @CarlosFGalan con gaseosa: 

Claudia Lopez    //   Carlos Galan

El voto util es por @HOLLMANMORRIS, bebes. https://t.co/uDlQQ26r3w",0.5697783451878516
Solo la gente que no usa @TransMilenio es capaz de votar por @CarlosFGalan o @MiguelUribeT porque no tienen idea lo que significa viajar en esa mierda de sistema. No apoyen con su voto seguir quemando la plata en buses rojos inservibles!,0.001156449651009628
"Proponente de reficar, ruta del sol e hidroituango elevado fue inhabilitado por el @BancoMundialLAC alguna otra razon necesita para no votar por @ClaudiaLopez y sus ""concejales""? porque la amenaza que va ganar @CarlosFGalan @MiguelUribeT si no votan por Claudia Nayibe es fakenews https://t.co/ffKd1L5NKt",0.20681770491225435
"Aqui les dejo a @CarlosFGalan diciendo que le encantaria que su Secretario de Gobierno fuese Luna, el jefe politico de la Joyita de Yefer Vega, o German Baron, cerebro detras de la criminalizacion de la protesta en el Codigo de Policia y jefe de Cambio Radical en el Congreso. https://t.co/XBmp4r97kN",0.10907890173747202
"@CarlosFGalan Que Dios le de sabiduria, inteligencia y buenas decisiones en estas ultimas semanas..para llegar a la Alcaldia.",0.33475457675988646
"Alcaldia de Bogota recien otorgo contrato por $10.921 mill a Fundacion Galan, para contratar mas de 400 personas

?Guino de @EnriquePenalosa a @CarlosFGalan?

#BogotaParaLaGente no para politiquear

Transmilenio y la suerte de los Galan https://t.co/DgjGXu7sJX
via @elespectador https://t.co/pGDlX3RhMT",0.027224112978713865
